step,epoch,lr,world_size,bs,loss,nce_12,nce_21,tau,gather,bs_local,bs_global_view,run_name,scale,objective,init,reg,sim,sigreg,V,inv,var,cov
7700,296,0.0003099595999999868,1,384,2.7149147987365723,2.7146198749542236,2.7152099609375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7800,300,0.0003139195999999862,1,384,2.77667236328125,2.7768962383270264,2.7764484882354736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
7900,303,0.0003178795999999855,1,384,2.77313232421875,2.77337646484375,2.77288818359375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8000,307,0.000321839599999985,1,384,2.7381591796875,2.7379150390625,2.7384033203125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8100,311,0.0003257995999999847,1,384,2.7437949180603027,2.7439982891082764,2.74359130859375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8200,315,0.00032975959999998416,1,384,2.6992287635803223,2.6992390155792236,2.69921875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8300,319,0.0003337195999999837,1,384,2.747039794921875,2.7470295429229736,2.7470500469207764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8400,323,0.0003376795999999835,1,384,2.7556049823760986,2.7554523944854736,2.7557575702667236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8500,326,0.0003416395999999833,1,384,2.7896218299865723,2.7896320819854736,2.78961181640625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8600,330,0.00034559959999998306,1,384,2.6424965858459473,2.64263916015625,2.6423542499542236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8700,334,0.00034955959999998263,1,384,2.8553466796875,2.85552978515625,2.85516357421875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
8800,338,0.0003535195999999821,1,384,2.6320900917053223,2.63232421875,2.6318562030792236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
