step,epoch,lr,world_size,bs,loss,sim,sigreg,V,run_name,scale,objective,init,reg,ep_partial,bhep
7000,2,0.00028223959999999033,1,384,0.5437663793563843,0.456226110458374,2.203125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.203125,,
7100,2,0.0002861995999999898,1,384,0.5372891426086426,0.4530058801174164,2.140625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.140625,,
7200,2,0.00029015959999998954,1,384,0.5213342905044556,0.4511166512966156,1.859375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,1.859375,,
7300,2,0.0002941195999999894,1,384,0.5301002264022827,0.45109230279922485,2.03125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.03125,,
7400,2,0.00029807959999998874,1,384,0.5280726552009583,0.44793009757995605,2.046875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.046875,,
7500,2,0.00030203959999998816,1,384,0.5443533658981323,0.44656437635421753,2.40625,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.40625,,
7600,2,0.00030599959999998757,1,384,0.5506478548049927,0.44599443674087524,2.546875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.546875,,
7700,2,0.0003099595999999868,1,384,0.5443426370620728,0.44398319721221924,2.453125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.453125,,
7800,2,0.0003139195999999862,1,384,0.5412802696228027,0.4489833116531372,2.296875,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.296875,,
7900,3,0.0003178795999999855,1,384,0.538946270942688,0.4439566135406494,2.34375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.34375,,
8000,3,0.000321839599999985,1,384,0.5447677969932556,0.44854259490966797,2.375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.375,,
8100,3,0.0003257995999999847,1,384,0.5397857427597046,0.4438123404979706,2.359375,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.359375,,
8200,3,0.00032975959999998416,1,384,0.5515046119689941,0.4468963146209717,2.53125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.53125,,
8300,3,0.0003337195999999837,1,384,0.5440188646316528,0.44364243745803833,2.453125,2,geometry-fixedcompute-1m-lejepa-random-50ksteps,1m,lejepa,random,2.453125,,
